1,ああああ,7,7,1,2,3,4,＊所属＊
2,いいいい,7,7,1,2,3,4,＊所属＊
3,うううう,7,7,1,2,3,4,＊所属＊
4,ええええ,7,7,1,2,3,4,＊所属＊
5,おおおお,7,7,1,2,3,4,＊所属＊
6,かかかか,7,7,1,2,3,4,＊所属＊
7,きききき,7,7,1,2,3,4,＊所属＊
8,くくくく,7,7,1,2,3,4,＊所属＊
9,けけけけ,7,7,1,2,3,4,＊所属＊
10,ここここ,7,7,1,2,3,4,＊所属＊
11,ささささ,7,7,1,2,3,4,＊所属＊
12,しししし,7,7,1,2,3,4,＊所属＊
13,すすすす,7,7,1,2,3,4,＊所属＊
14,せせせせ,7,7,1,2,3,4,＊所属＊
15,そそそそ,7,7,1,2,3,4,＊所属＊
16,たたたた,7,7,1,2,3,4,＊所属＊
17,ちちちち,7,7,1,2,3,4,＊所属＊
18,つつつつ,7,7,1,2,3,4,＊所属＊
19,てててて,7,7,1,2,3,4,＊所属＊
20,とととと,7,7,1,2,3,4,＊所属＊
21,なななな,7,7,1,2,3,4,＊所属＊
22,にににに,7,7,1,2,3,4,＊所属＊
23,ぬぬぬぬ,7,7,1,2,3,4,＊所属＊
24,ねねねね,7,7,1,2,3,4,＊所属＊
25,のののの,7,7,1,2,3,4,＊所属＊
26,はははは,7,7,1,2,3,4,＊所属＊
27,ひひひひ,7,7,1,2,3,4,＊所属＊
28,ふふふふ,7,7,1,2,3,4,＊所属＊
29,へへへへ,7,7,1,2,3,4,＊所属＊
30,ほほほほ,7,7,1,2,3,4,＊所属＊
31,まままま,7,7,1,2,3,4,＊所属＊
32,みみみみ,7,7,1,2,3,4,＊所属＊
33,むむむむ,7,7,1,2,3,4,＊所属＊
34,めめめめ,7,7,1,2,3,4,＊所属＊
35,もももも,7,7,1,2,3,4,＊所属＊
36,やややや,7,7,1,2,3,4,＊所属＊
37,ゆゆゆゆ,7,7,1,2,3,4,＊所属＊
38,よよよよ,7,7,1,2,3,4,＊所属＊
39,らららら,7,7,1,2,3,4,＊所属＊
40,りりりり,7,7,1,2,3,4,＊所属＊
41,るるるる,7,7,1,2,3,4,＊所属＊
42,れれれれ,7,7,1,2,3,4,＊所属＊
43,ろろろろ,7,7,1,2,3,4,＊所属＊
44,わわわわ,7,7,1,2,3,4,＊所属＊
45,をををを,7,7,1,2,3,4,＊所属＊
46,んんんん,7,7,1,2,3,4,＊所属＊
47,がががが,7,7,1,2,3,4,＊所属＊
48,ぎぎぎぎ,7,7,1,2,3,4,＊所属＊
49,ぐぐぐぐ,7,7,1,2,3,4,＊所属＊
